Acceptance Rate,Application Deadline,Application Fee,SAT Range,ACT Range,How would you rate on-campus housing?,How would you rate off-campus housing?,How would you rate campus food?,How would you rate campus facilities?,How would you rate class size?,How would you rate school activities?,How would you rate local services?,How would you rate academics?,University Name,Student Life Reviews,General Info,Table,Quick Facts
100%,None,0,None,None,3 Students rated on-campus housing 1 stars. 0 % gave the school a 5.0.,4 Students rated off-campus housing 2 stars. 0 % gave the school a 5.0.,4 Students rated campus food 2 stars. 0 % gave the school a 5.0.,6 Students rated campus facilities 4.6 stars. 50 % gave the school a 5.0.,7 Students rated class size 5 stars. 100 % gave the school a 5.0.,6 Students rated school activities 3.2 stars. 0 % gave the school a 5.0.,6 Students rated local services 4.4 stars. 67 % gave the school a 5.0.,7 Students rated academics 4.2 stars. 57 % gave the school a 5.0.,"South University, Montgomery",,,,
100%,None,30,None,18-23,3 Students rated on-campus housing 4.7 stars. 67 % gave the school a 5.0.,3 Students rated off-campus housing 2.3 stars. 0 % gave the school a 5.0.,1 Students rated campus food 3 stars. 0 % gave the school a 5.0.,3 Students rated campus facilities 4.3 stars. 33 % gave the school a 5.0.,3 Students rated class size 4.7 stars. 67 % gave the school a 5.0.,3 Students rated school activities 3.3 stars. 33 % gave the school a 5.0.,3 Students rated local services 5 stars. 100 % gave the school a 5.0.,3 Students rated academics 5 stars. 100 % gave the school a 5.0.,Southeastern Bible College,,,,
100%,None,100,None,None,,,,,,,,,Southeastern School of Cosmetology,None,,,
%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Southern Community College,,,,
100%,None,0,None,None,17 Students rated on-campus housing 2.9 stars. 18 % gave the school a 5.0.,12 Students rated off-campus housing 3.4 stars. 0 % gave the school a 5.0.,17 Students rated campus food 3.1 stars. 18 % gave the school a 5.0.,17 Students rated campus facilities 4.1 stars. 35 % gave the school a 5.0.,17 Students rated class size 3.9 stars. 53 % gave the school a 5.0.,17 Students rated school activities 2.9 stars. 12 % gave the school a 5.0.,17 Students rated local services 2.9 stars. 12 % gave the school a 5.0.,17 Students rated academics 4.4 stars. 59 % gave the school a 5.0.,Southern Union State Community College,,,,
43%,None,25,1000-1190,22-27,88 Students rated on-campus housing 3.6 stars. 11 % gave the school a 5.0.,53 Students rated off-campus housing 2.5 stars. 0 % gave the school a 5.0.,96 Students rated campus food 2.9 stars. 11 % gave the school a 5.0.,100 Students rated campus facilities 4.1 stars. 39 % gave the school a 5.0.,100 Students rated class size 4.6 stars. 74 % gave the school a 5.0.,99 Students rated school activities 3.8 stars. 33 % gave the school a 5.0.,99 Students rated local services 4.5 stars. 67 % gave the school a 5.0.,100 Students rated academics 3.8 stars. 39 % gave the school a 5.0.,Spring Hill College,,,,
41%,None,15,740-910,14-17,29 Students rated on-campus housing 3.2 stars. 14 % gave the school a 5.0.,21 Students rated off-campus housing 3.6 stars. 0 % gave the school a 5.0.,29 Students rated campus food 3.1 stars. 17 % gave the school a 5.0.,29 Students rated campus facilities 3.4 stars. 21 % gave the school a 5.0.,29 Students rated class size 4.3 stars. 48 % gave the school a 5.0.,29 Students rated school activities 3.5 stars. 28 % gave the school a 5.0.,29 Students rated local services 4.1 stars. 48 % gave the school a 5.0.,29 Students rated academics 3.3 stars. 24 % gave the school a 5.0.,Stillman College,,,,
100%,None,0,None,None,,,,,,,,,Strayer University-Alabama,None,,,
100%,None,25,None,None,15 Students rated on-campus housing 3.4 stars. 27 % gave the school a 5.0.,12 Students rated off-campus housing 3.5 stars. 0 % gave the school a 5.0.,15 Students rated campus food 2.6 stars. 0 % gave the school a 5.0.,15 Students rated campus facilities 3.8 stars. 27 % gave the school a 5.0.,15 Students rated class size 3.8 stars. 40 % gave the school a 5.0.,15 Students rated school activities 3.7 stars. 33 % gave the school a 5.0.,15 Students rated local services 3.2 stars. 20 % gave the school a 5.0.,15 Students rated academics 4.1 stars. 40 % gave the school a 5.0.,Talladega College,,,,
100%,None,200,None,None,,,,,,,,,The Salon Professional Academy-Huntsville,None,,,
52%,None,40,980-1230,23-31,349 Students rated on-campus housing 4 stars. 36 % gave the school a 5.0.,232 Students rated off-campus housing 3.9 stars. 0 % gave the school a 5.0.,373 Students rated campus food 3.9 stars. 31 % gave the school a 5.0.,373 Students rated campus facilities 4.5 stars. 62 % gave the school a 5.0.,374 Students rated class size 4 stars. 34 % gave the school a 5.0.,372 Students rated school activities 4.5 stars. 63 % gave the school a 5.0.,374 Students rated local services 4.5 stars. 60 % gave the school a 5.0.,377 Students rated academics 4.2 stars. 51 % gave the school a 5.0.,The University of Alabama,,,,
91%,None,30,925-1160,18-24,128 Students rated on-campus housing 3.5 stars. 24 % gave the school a 5.0.,99 Students rated off-campus housing 3.7 stars. 0 % gave the school a 5.0.,140 Students rated campus food 3.7 stars. 31 % gave the school a 5.0.,148 Students rated campus facilities 4.2 stars. 41 % gave the school a 5.0.,150 Students rated class size 4.4 stars. 56 % gave the school a 5.0.,150 Students rated school activities 3.9 stars. 35 % gave the school a 5.0.,149 Students rated local services 3.8 stars. 34 % gave the school a 5.0.,150 Students rated academics 4.4 stars. 58 % gave the school a 5.0.,Troy University,,,,
49%,None,25,890-1110,21-22,145 Students rated on-campus housing 2.9 stars. 6 % gave the school a 5.0.,117 Students rated off-campus housing 3.3 stars. 0 % gave the school a 5.0.,145 Students rated campus food 2.6 stars. 9 % gave the school a 5.0.,143 Students rated campus facilities 3.3 stars. 17 % gave the school a 5.0.,144 Students rated class size 4.2 stars. 47 % gave the school a 5.0.,143 Students rated school activities 3.9 stars. 41 % gave the school a 5.0.,143 Students rated local services 2.8 stars. 9 % gave the school a 5.0.,144 Students rated academics 3.9 stars. 47 % gave the school a 5.0.,Tuskegee University,,,,
%,None,50,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 5 stars. 0 % gave the school a 5.0.,1 Students rated campus food 5 stars. 100 % gave the school a 5.0.,1 Students rated campus facilities 5 stars. 100 % gave the school a 5.0.,1 Students rated class size 5 stars. 100 % gave the school a 5.0.,1 Students rated school activities 3 stars. 0 % gave the school a 5.0.,1 Students rated local services 3 stars. 0 % gave the school a 5.0.,1 Students rated academics 5 stars. 100 % gave the school a 5.0.,United States Sports Academy,,,,
100%,None,100,None,None,,,,,,,,,University Academy of Hair Design,None,,,
58%,None,30,970-1300,21-28,193 Students rated on-campus housing 3.7 stars. 25 % gave the school a 5.0.,146 Students rated off-campus housing 3.5 stars. 0 % gave the school a 5.0.,219 Students rated campus food 3.5 stars. 21 % gave the school a 5.0.,223 Students rated campus facilities 4.2 stars. 45 % gave the school a 5.0.,222 Students rated class size 4 stars. 38 % gave the school a 5.0.,222 Students rated school activities 4 stars. 41 % gave the school a 5.0.,221 Students rated local services 4.1 stars. 47 % gave the school a 5.0.,223 Students rated academics 4.2 stars. 48 % gave the school a 5.0.,University of Alabama at Birmingham,,,,
76%,None,30,1060-1340,25-31,83 Students rated on-campus housing 3.8 stars. 18 % gave the school a 5.0.,66 Students rated off-campus housing 3.6 stars. 0 % gave the school a 5.0.,93 Students rated campus food 3.4 stars. 23 % gave the school a 5.0.,97 Students rated campus facilities 4 stars. 37 % gave the school a 5.0.,96 Students rated class size 4.2 stars. 38 % gave the school a 5.0.,97 Students rated school activities 3.8 stars. 28 % gave the school a 5.0.,95 Students rated local services 4.3 stars. 53 % gave the school a 5.0.,96 Students rated academics 4.2 stars. 48 % gave the school a 5.0.,University of Alabama in Huntsville,,,,
%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,University of Alabama System Office,,,,
61%,None,25,850-1120,19-25,32 Students rated on-campus housing 4.1 stars. 44 % gave the school a 5.0.,18 Students rated off-campus housing 3.3 stars. 0 % gave the school a 5.0.,33 Students rated campus food 3.3 stars. 21 % gave the school a 5.0.,34 Students rated campus facilities 4.3 stars. 47 % gave the school a 5.0.,34 Students rated class size 4.7 stars. 71 % gave the school a 5.0.,34 Students rated school activities 3.8 stars. 38 % gave the school a 5.0.,34 Students rated local services 4.1 stars. 41 % gave the school a 5.0.,34 Students rated academics 3.9 stars. 47 % gave the school a 5.0.,University of Mobile,,,,
65%,None,30,900-1200,20-26,129 Students rated on-campus housing 3.8 stars. 19 % gave the school a 5.0.,92 Students rated off-campus housing 3.6 stars. 0 % gave the school a 5.0.,143 Students rated campus food 3.2 stars. 22 % gave the school a 5.0.,148 Students rated campus facilities 4.1 stars. 38 % gave the school a 5.0.,148 Students rated class size 4.7 stars. 78 % gave the school a 5.0.,148 Students rated school activities 4 stars. 38 % gave the school a 5.0.,147 Students rated local services 4 stars. 46 % gave the school a 5.0.,148 Students rated academics 4.3 stars. 60 % gave the school a 5.0.,University of Montevallo,,,,
55%,None,35,862-1053,19-25,75 Students rated on-campus housing 3.6 stars. 19 % gave the school a 5.0.,65 Students rated off-campus housing 3.6 stars. 0 % gave the school a 5.0.,86 Students rated campus food 3.6 stars. 20 % gave the school a 5.0.,89 Students rated campus facilities 4.1 stars. 37 % gave the school a 5.0.,89 Students rated class size 4.4 stars. 52 % gave the school a 5.0.,90 Students rated school activities 3.9 stars. 32 % gave the school a 5.0.,90 Students rated local services 4.2 stars. 44 % gave the school a 5.0.,89 Students rated academics 4.2 stars. 51 % gave the school a 5.0.,University of North Alabama,,,,
%,None,0,None,None,,,,,,,,,University of Phoenix-Alabama,None,,,
80%,None,35,920-1130,20-23,92 Students rated on-campus housing 3.9 stars. 26 % gave the school a 5.0.,64 Students rated off-campus housing 3.8 stars. 0 % gave the school a 5.0.,96 Students rated campus food 3.2 stars. 19 % gave the school a 5.0.,101 Students rated campus facilities 4.2 stars. 43 % gave the school a 5.0.,101 Students rated class size 4.3 stars. 46 % gave the school a 5.0.,101 Students rated school activities 4.3 stars. 48 % gave the school a 5.0.,102 Students rated local services 4.3 stars. 55 % gave the school a 5.0.,103 Students rated academics 4.2 stars. 43 % gave the school a 5.0.,University of South Alabama,,,,
53%,None,40,860-1020,18-23,32 Students rated on-campus housing 3.7 stars. 25 % gave the school a 5.0.,26 Students rated off-campus housing 3.5 stars. 0 % gave the school a 5.0.,33 Students rated campus food 3 stars. 12 % gave the school a 5.0.,33 Students rated campus facilities 3.9 stars. 36 % gave the school a 5.0.,33 Students rated class size 4.5 stars. 70 % gave the school a 5.0.,33 Students rated school activities 3.6 stars. 36 % gave the school a 5.0.,33 Students rated local services 3.5 stars. 39 % gave the school a 5.0.,33 Students rated academics 4.2 stars. 48 % gave the school a 5.0.,University of West Alabama,,,,
100%,None,0,None,None,,,,,,,,,Virginia College-Birmingham,None,,,
100%,None,0,None,None,,,,,,,,,Virginia College-Huntsville,None,,,
100%,None,0,None,None,,,,,,,,,Virginia College-Mobile,None,,,
100%,None,0,None,None,,,,,,,,,Virginia College-Montgomery,None,,,
100%,None,35,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Alaska Bible College,,,,
100%,None,50,None,None,1 Students rated on-campus housing 1 stars. 0 % gave the school a 5.0.,2 Students rated off-campus housing 4.3 stars. 0 % gave the school a 5.0.,3 Students rated campus food 3 stars. 33 % gave the school a 5.0.,3 Students rated campus facilities 4 stars. 33 % gave the school a 5.0.,3 Students rated class size 5 stars. 100 % gave the school a 5.0.,3 Students rated school activities 2.3 stars. 0 % gave the school a 5.0.,2 Students rated local services 4.5 stars. 50 % gave the school a 5.0.,3 Students rated academics 5 stars. 100 % gave the school a 5.0.,Alaska Career College,,,,
100%,None,0,None,None,,,,,,,,,Alaska Christian College,None,,,
55%,None,25,None,None,14 Students rated on-campus housing 3.5 stars. 21 % gave the school a 5.0.,14 Students rated off-campus housing 2.5 stars. 0 % gave the school a 5.0.,15 Students rated campus food 3 stars. 13 % gave the school a 5.0.,17 Students rated campus facilities 3.6 stars. 29 % gave the school a 5.0.,17 Students rated class size 4.5 stars. 71 % gave the school a 5.0.,16 Students rated school activities 3.4 stars. 25 % gave the school a 5.0.,16 Students rated local services 3.5 stars. 13 % gave the school a 5.0.,17 Students rated academics 3.6 stars. 24 % gave the school a 5.0.,Alaska Pacific University,,,,
100%,None,30,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,AVTEC-Alaska’s Institute of Technology,,,,
